,ï»¿ExportDate,StudioVersionRec,StudioProjectName,StudioTestName,ParticipantName,RecordingName,RecordingDate,RecordingDuration,RecordingResolution,FixationFilter,MediaName,MediaPosX (ADCSpx),MediaPosY (ADCSpx),MediaWidth,MediaHeight,SegmentName,SegmentStart,SegmentEnd,SegmentDuration,SceneName,SceneSegmentStart,SceneSegmentEnd,SceneSegmentDuration,RecordingTimestamp,LocalTimeStamp,EyeTrackerTimestamp,FixationIndex,SaccadeIndex,GazeEventType,GazeEventDuration,FixationPointX (MCSpx),FixationPointY (MCSpx),AOI[class definition]Hit,AOI[instance variables]Hit,AOI[constructor]Hit,AOI[diploma method]Hit,AOI[courses method]Hit,AOI[main method]Hit,AOI[courses method vars]Hit,AOI[courses method while]Hit,AOI[main method list student]Hit,AOI[main method if]Hit,AOI[main method else]Hit,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,ValidityLeft,ValidityRight,LineNumber
11,25/03/2019,3.2.3,TestRenske,AOITest,AOITestStudentClass,Rec 01,25/03/2019,45867,1920 x 1200,I-VT filter,studentClass.png,185,15,1550,1170,,,,,,,,,4170,14:41:20,1553518706751691.0,12,,Fixation,217,211,81,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
12,25/03/2019,3.2.3,TestRenske,AOITest,AOITestStudentClass,Rec 01,25/03/2019,45867,1920 x 1200,I-VT filter,studentClass.png,185,15,1550,1170,,,,,,,,,4420,14:41:21,1553518707001399.0,13,,Fixation,200,156,86,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
13,25/03/2019,3.2.3,TestRenske,AOITest,AOITestStudentClass,Rec 01,25/03/2019,45867,1920 x 1200,I-VT filter,studentClass.png,185,15,1550,1170,,,,,,,,,4653,14:41:21,1553520000000000.0,14,,Fixation,283,286,79,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
14,25/03/2019,3.2.3,TestRenske,AOITest,AOITestStudentClass,Rec 01,25/03/2019,45867,1920 x 1200,I-VT filter,studentClass.png,185,15,1550,1170,,,,,,,,,4953,14:41:21,1553518707534307.0,15,,Fixation,200,323,83,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
15,25/03/2019,3.2.3,TestRenske,AOITest,AOITestStudentClass,Rec 01,25/03/2019,45867,1920 x 1200,I-VT filter,studentClass.png,185,15,1550,1170,,,,,,,,,5169,14:41:21,1553518707750781.0,16,,Fixation,283,403,90,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16,25/03/2019,3.2.3,TestRenske,AOITest,AOITestStudentClass,Rec 01,25/03/2019,45867,1920 x 1200,I-VT filter,studentClass.png,185,15,1550,1170,,,,,,,,,5486,14:41:22,1553518708067216.0,17,,Fixation,216,218,114,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4
17,25/03/2019,3.2.3,TestRenske,AOITest,AOITestStudentClass,Rec 01,25/03/2019,45867,1920 x 1200,I-VT filter,studentClass.png,185,15,1550,1170,,,,,,,,,5719,14:41:22,1553518708300424.0,18,,Fixation,216,272,117,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
18,25/03/2019,3.2.3,TestRenske,AOITest,AOITestStudentClass,Rec 01,25/03/2019,45867,1920 x 1200,I-VT filter,studentClass.png,185,15,1550,1170,,,,,,,,,5986,14:41:22,1553518708566752.0,19,,Fixation,183,139,126,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5
19,25/03/2019,3.2.3,TestRenske,AOITest,AOITestStudentClass,Rec 01,25/03/2019,45867,1920 x 1200,I-VT filter,studentClass.png,185,15,1550,1170,,,,,,,,,6185,14:41:22,1553520000000000.0,20,,Fixation,217,197,113,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4
20,25/03/2019,3.2.3,TestRenske,AOITest,AOITestStudentClass,Rec 01,25/03/2019,45867,1920 x 1200,I-VT filter,studentClass.png,185,15,1550,1170,,,,,,,,,6419,14:41:23,1553518708999805.0,21,,Fixation,83,247,105,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4
